player,season_avg,hot_n,hot_during,hot_next,hot_regression,cold_n,cold_during,cold_next,cold_regression,normal_n,normal_during,normal_next,normal_regression
Jake LaRavia,0.91,5,2.4,0.8,1.6,0,,,,58,0.77,0.95,-0.18
Jalen Smith,1.12,5,2.4,1.6,0.8,2,0.0,1.5,-1.5,54,1.06,1.04,0.02
Jalen Suggs,2.17,3,4.33,2.33,2.0,0,,,,29,1.98,2.1,-0.13
Jalen Wilson,1.54,3,3.56,3.0,0.56,1,0.0,1.0,-1.0,72,1.39,1.53,-0.13
Jamal Shead,0.96,5,2.13,0.8,1.33,7,0.0,0.43,-0.43,60,0.96,1.03,-0.08
Jamison Battle,1.78,1,3.67,1.0,2.67,2,0.0,0.5,-0.5,53,1.69,1.85,-0.16
Jarace Walker,1.0,6,2.5,1.83,0.67,0,,,,66,0.84,0.94,-0.1
Jared Butler,1.0,9,2.74,2.0,0.74,0,,,,48,0.63,0.85,-0.22
Jaren Jackson Jr.,1.97,4,3.92,2.75,1.17,2,0.33,0.5,-0.17,65,1.91,2.0,-0.09
Javonte Green,0.68,1,1.67,1.0,0.67,0,,,,64,0.69,0.69,0.01
Jaylen Wells,1.75,1,3.67,2.0,1.67,0,,,,75,1.75,1.76,-0.01
Jaylin Williams,1.3,3,2.89,1.0,1.89,0,,,,41,1.17,1.29,-0.12
Jeremiah Robinson-Earl,0.85,0,,,,0,,,,63,0.83,0.86,-0.03
John Collins,1.48,3,3.11,2.0,1.11,0,,,,34,1.35,1.44,-0.09
Johnny Juzang,1.84,5,3.67,2.2,1.47,4,0.25,1.25,-1.0,52,1.78,1.9,-0.13
Jonathan Isaac,0.55,0,,,,0,,,,68,0.54,0.51,0.03
Jonathan Kuminga,0.98,2,2.33,1.0,1.33,0,,,,42,0.97,1.02,-0.06
Jordan Clarkson,2.27,4,4.33,4.0,0.33,0,,,,30,2.08,2.17,-0.09
Jordan Hawkins,1.96,0,,,,0,,,,53,1.92,1.91,0.02
Jordan Poole,3.46,2,6.0,5.5,0.5,0,,,,63,3.38,3.3,0.07
Jose Alvarado,1.98,4,4.08,1.75,2.33,2,0.33,5.0,-4.67,47,1.9,1.96,-0.06
Josh Giddey,1.5,7,3.0,2.0,1.0,1,0.33,2.0,-1.67,59,1.33,1.44,-0.11
Josh Green,1.43,2,3.0,1.0,2.0,0,,,,63,1.37,1.43,-0.06
Josh Okogie,0.8,0,,,,0,,,,37,0.73,0.81,-0.08
Jrue Holiday,1.74,2,3.5,0.5,3.0,0,,,,57,1.68,1.77,-0.09
Julian Champagnie,2.17,3,4.22,1.33,2.89,4,0.33,1.25,-0.92,72,2.11,2.25,-0.14
