player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins,volume_tier,minutes_trend_bucket
Andrew Nembhard,1.6666666666666667,1.0,0.6666666666666667,ATL,away,Bad (21-30),0.377,103.41,5.030769230769231,False,0.78,0.78,1.6666666666666667,1.0,0.21999999999999997,0.6666666666666667,True,Low (2-3 3PA/g),Minutes UP (>+2)
Andrew Wiggins,3.6666666666666665,2.0,1.6666666666666663,HOU,away,Mid (11-20),0.357,99.03,-5.683333333333334,False,2.17,2.17,3.6666666666666665,2.0,0.16999999999999993,1.6666666666666665,True,High (5+ 3PA/g),Minutes DOWN (<-2)
Anthony Black,2.0,1.0,1.0,DAL,home,Mid (11-20),0.363,100.15,4.53846153846154,True,0.79,0.79,2.0,1.0,0.20999999999999996,1.0,True,Low (2-3 3PA/g),Minutes UP (>+2)
Anthony Black,2.0,1.0,1.0,SAC,home,Bad (21-30),0.381,98.91,4.53846153846154,False,0.79,0.79,2.0,1.0,0.20999999999999996,1.0,True,Low (2-3 3PA/g),Minutes UP (>+2)
Antonio Reeves,3.0,1.0,2.0,LAC,away,Elite (top 10),0.35,98.24,8.666666666666668,False,1.16,1.16,3.0,1.0,0.15999999999999992,2.0,True,Low (2-3 3PA/g),Minutes UP (>+2)
Antonio Reeves,2.6666666666666665,4.0,-1.3333333333333337,BKN,away,Mid (11-20),0.362,96.73,16.0,False,1.16,1.16,2.6666666666666665,4.0,2.84,1.3333333333333335,False,Low (2-3 3PA/g),Minutes UP (>+2)
Antonio Reeves,3.6666666666666665,2.0,1.6666666666666663,MIL,away,Elite (top 10),0.353,99.92,15.0,False,1.16,1.16,3.6666666666666665,2.0,0.8400000000000001,1.6666666666666665,True,Low (2-3 3PA/g),Minutes UP (>+2)
Antonio Reeves,3.6666666666666665,2.0,1.6666666666666663,MIA,home,Mid (11-20),0.36,97.08,19.666666666666664,False,1.16,1.16,3.6666666666666665,2.0,0.8400000000000001,1.6666666666666665,True,Low (2-3 3PA/g),Minutes UP (>+2)
Antonio Reeves,2.6666666666666665,0.0,2.6666666666666665,OKC,home,Elite (top 10),0.342,100.9,18.666666666666664,True,1.16,1.16,2.6666666666666665,0.0,1.16,2.6666666666666665,True,Low (2-3 3PA/g),Minutes UP (>+2)
Ayo Dosunmu,2.6666666666666665,3.0,-0.3333333333333335,CHA,home,Elite (top 10),0.355,98.22,3.717391304347824,True,1.35,1.35,2.6666666666666665,3.0,1.65,0.3333333333333335,False,Medium (3-5 3PA/g),Minutes UP (>+2)
