player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression,PLAYER_NAME,FG3A,MIN,GP,volume_tier,years_pro,experience_tier
Garrison Mathews,1.81,4,1.83,2,-2.5,38,0.04,Garrison Mathews,4.6,17.6,47,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Gary Trent Jr.,2.43,7,2.1,4,-1.25,60,-0.2,Gary Trent Jr.,5.9,25.6,74,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Georges Niang,2.1,5,2.0,0,,71,-0.19,Georges Niang,5.2,21.5,79,High (5+ 3PA/g),10,Veteran (8+ yrs)
Gradey Dick,2.11,2,3.5,0,,49,-0.09,Gradey Dick,6.0,29.4,54,High (5+ 3PA/g),2,Young (0-2 yrs)
Grayson Allen,2.33,1,3.33,0,,60,-0.13,Grayson Allen,5.5,24.1,64,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Guerschon Yabusele,1.49,1,3.33,0,,66,-0.09,Guerschon Yabusele,3.9,27.1,70,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Harrison Barnes,1.9,5,1.6,5,-3.0,69,0.07,Harrison Barnes,4.4,27.2,82,Medium (3-5 3PA/g),13,Veteran (8+ yrs)
Haywood Highsmith,1.2,3,2.67,4,-1.5,64,-0.08,Haywood Highsmith,3.1,24.6,74,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Immanuel Quickley,2.58,1,4.0,1,-2.0,28,-0.1,Immanuel Quickley,6.8,27.8,33,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Isaac Okoro,1.02,0,,0,,52,-0.08,Isaac Okoro,2.7,19.1,55,Low (2-3 3PA/g),5,Mid-career (3-7 yrs)
Isaiah Collier,0.59,7,1.14,0,,61,-0.16,Isaiah Collier,2.4,25.9,71,Low (2-3 3PA/g),1,Young (0-2 yrs)
Isaiah Joe,2.59,4,3.67,0,,67,-0.3,Isaiah Joe,6.3,21.7,74,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Ja Morant,1.76,3,0.11,1,-1.67,43,-0.09,Ja Morant,5.7,30.4,50,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Ja'Kobe Walter,1.25,3,1.0,0,,46,-0.15,Ja'Kobe Walter,3.6,21.2,52,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Jabari Smith Jr.,1.72,0,,4,-1.5,50,0.09,Jabari Smith Jr.,4.9,30.1,57,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Jaden Hardy,1.33,3,2.89,0,,51,-0.2,Jaden Hardy,3.5,15.9,57,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Jaden Ivey,2.1,0,,2,-1.83,25,-0.01,Jaden Ivey,5.1,29.9,30,High (5+ 3PA/g),3,Mid-career (3-7 yrs)
Jaden McDaniels,1.22,3,1.44,3,-0.67,73,-0.03,Jaden McDaniels,3.7,31.9,82,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Jake LaRavia,0.91,5,1.6,0,,58,-0.18,Jake LaRavia,2.2,20.4,66,Low (2-3 3PA/g),3,Mid-career (3-7 yrs)
Jalen Smith,1.12,5,0.8,2,-1.5,54,0.02,Jalen Smith,3.5,15.0,64,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Jalen Suggs,2.17,3,2.0,0,,29,-0.13,Jalen Suggs,6.9,28.6,35,High (5+ 3PA/g),4,Mid-career (3-7 yrs)
Jalen Wilson,1.54,3,0.56,1,-1.0,72,-0.13,Jalen Wilson,4.6,25.7,79,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Jamal Shead,0.96,5,1.33,7,-0.43,60,-0.08,Jamal Shead,3.0,19.6,75,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Jamison Battle,1.78,1,2.67,2,-0.5,53,-0.16,Jamison Battle,4.4,17.7,59,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Jarace Walker,1.0,6,0.67,0,,66,-0.1,Jarace Walker,2.5,15.8,75,Low (2-3 3PA/g),2,Young (0-2 yrs)
Jared Butler,1.0,9,0.74,0,,48,-0.22,Jared Butler,2.8,17.4,60,Low (2-3 3PA/g),5,Mid-career (3-7 yrs)
Jaren Jackson Jr.,1.97,4,1.17,2,-0.17,65,-0.09,Jaren Jackson Jr.,5.3,29.8,74,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Javonte Green,0.68,1,0.67,0,,64,0.01,Javonte Green,2.1,18.5,68,Low (2-3 3PA/g),6,Mid-career (3-7 yrs)
Jaylen Wells,1.75,1,1.67,0,,75,-0.01,Jaylen Wells,5.0,25.9,79,High (5+ 3PA/g),1,Young (0-2 yrs)
Jaylin Williams,1.3,3,1.89,0,,41,-0.12,Jaylin Williams,3.3,16.7,47,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Jeremiah Robinson-Earl,0.85,0,,0,,63,-0.03,Jeremiah Robinson-Earl,2.5,18.8,66,Low (2-3 3PA/g),4,Mid-career (3-7 yrs)
John Collins,1.48,3,1.11,0,,34,-0.09,John Collins,3.7,30.5,40,Medium (3-5 3PA/g),8,Veteran (8+ yrs)
Johnny Juzang,1.84,5,1.47,4,-1.0,52,-0.13,Johnny Juzang,4.9,19.8,64,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Jonathan Isaac,0.55,0,,0,,68,0.03,Jonathan Isaac,2.1,15.4,71,Low (2-3 3PA/g),8,Veteran (8+ yrs)
Jonathan Kuminga,0.98,2,1.33,0,,42,-0.06,Jonathan Kuminga,3.2,24.3,47,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Jordan Clarkson,2.27,4,0.33,0,,30,-0.09,Jordan Clarkson,6.3,26.0,37,High (5+ 3PA/g),11,Veteran (8+ yrs)
Jordan Hawkins,1.96,0,,0,,53,0.02,Jordan Hawkins,5.9,23.6,56,High (5+ 3PA/g),2,Young (0-2 yrs)
Jordan Poole,3.46,2,0.5,0,,63,0.07,Jordan Poole,9.1,29.4,68,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Jose Alvarado,1.98,4,2.33,2,-4.67,47,-0.06,Jose Alvarado,5.5,24.4,56,High (5+ 3PA/g),4,Mid-career (3-7 yrs)
Josh Giddey,1.5,7,1.0,1,-1.67,59,-0.11,Josh Giddey,4.0,30.2,70,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Josh Green,1.43,2,2.0,0,,63,-0.06,Josh Green,3.6,27.8,68,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Josh Okogie,0.8,0,,0,,37,-0.08,Josh Okogie,2.3,15.6,40,Low (2-3 3PA/g),7,Mid-career (3-7 yrs)
Jrue Holiday,1.74,2,3.0,0,,57,-0.09,Jrue Holiday,4.9,30.6,62,Medium (3-5 3PA/g),16,Veteran (8+ yrs)
Julian Champagnie,2.17,3,2.89,4,-0.92,72,-0.14,Julian Champagnie,5.9,23.6,82,High (5+ 3PA/g),3,Mid-career (3-7 yrs)
Julian Strawther,1.45,4,1.33,3,0.0,55,-0.04,Julian Strawther,4.1,21.3,65,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Justin Champagnie,1.19,1,0.67,0,,58,-0.11,Justin Champagnie,3.1,21.6,62,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Justin Edwards,1.57,6,0.89,2,-1.5,33,-0.12,Justin Edwards,4.3,26.2,44,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Jusuf Nurkić,0.63,4,1.25,0,,44,-0.14,Jusuf Nurkić,2.1,20.8,51,Low (2-3 3PA/g),11,Veteran (8+ yrs)
KJ Simpson,0.92,2,1.67,0,,31,-0.11,KJ Simpson,3.6,23.4,36,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Kawhi Leonard,2.11,0,,3,-0.78,31,-0.04,Kawhi Leonard,5.1,31.9,37,High (5+ 3PA/g),14,Veteran (8+ yrs)
Keaton Wallace,0.87,3,1.56,0,,25,-0.15,Keaton Wallace,2.6,16.2,31,Low (2-3 3PA/g),1,Young (0-2 yrs)
Keldon Johnson,1.13,5,1.93,0,,69,-0.15,Keldon Johnson,3.6,23.9,77,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Kenrich Williams,0.96,8,1.12,0,,58,-0.16,Kenrich Williams,2.5,16.4,69,Low (2-3 3PA/g),7,Mid-career (3-7 yrs)
Kentavious Caldwell-Pope,1.47,6,1.78,0,,68,-0.15,Kentavious Caldwell-Pope,4.3,29.6,77,Medium (3-5 3PA/g),12,Veteran (8+ yrs)
Keon Ellis,1.74,3,2.78,0,,74,-0.15,Keon Ellis,4.0,24.4,80,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Keon Johnson,1.59,6,1.72,2,-1.0,68,-0.17,Keon Johnson,5.1,24.4,79,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Kevin Huerter,1.91,4,2.08,1,-1.0,61,-0.13,Kevin Huerter,5.7,24.3,69,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Kevin Porter Jr.,0.73,3,1.11,0,,69,-0.07,Kevin Porter Jr.,2.4,19.8,75,Low (2-3 3PA/g),5,Mid-career (3-7 yrs)
Keyonte George,2.6,2,2.67,2,-2.33,60,0.01,Keyonte George,7.6,31.5,67,High (5+ 3PA/g),2,Young (0-2 yrs)
Khris Middleton,1.3,5,1.13,0,,29,-0.23,Khris Middleton,3.6,22.8,37,Medium (3-5 3PA/g),13,Veteran (8+ yrs)
Klay Thompson,3.0,4,3.33,1,-2.0,64,-0.09,Klay Thompson,7.7,27.3,72,High (5+ 3PA/g),14,Veteran (8+ yrs)
Kris Dunn,1.01,1,1.67,0,,70,-0.04,Kris Dunn,3.0,24.1,74,Medium (3-5 3PA/g),9,Veteran (8+ yrs)
Kristaps Porziņģis,2.45,4,2.42,0,,35,-0.37,Kristaps Porziņģis,6.0,28.8,42,High (5+ 3PA/g),10,Veteran (8+ yrs)
Kyle Filipowski,1.07,9,0.89,0,,60,-0.16,Kyle Filipowski,3.1,21.1,72,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Kyle Kuzma,1.48,3,1.44,0,,59,-0.12,Kyle Kuzma,4.8,29.8,65,Medium (3-5 3PA/g),8,Veteran (8+ yrs)
Kyle Lowry,0.83,6,0.83,0,,26,-0.04,Kyle Lowry,2.5,18.8,35,Low (2-3 3PA/g),19,Veteran (8+ yrs)
Kyshawn George,1.68,5,1.8,2,-0.5,58,-0.18,Kyshawn George,5.2,26.5,68,High (5+ 3PA/g),1,Young (0-2 yrs)
LaMelo Ball,3.81,0,,0,,44,0.08,LaMelo Ball,11.2,32.0,47,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Landry Shamet,1.24,3,1.67,0,,44,-0.35,Landry Shamet,3.1,15.2,50,Medium (3-5 3PA/g),7,Mid-career (3-7 yrs)
Lauri Markkanen,2.94,3,2.67,0,,41,-0.2,Lauri Markkanen,8.5,31.4,47,High (5+ 3PA/g),8,Veteran (8+ yrs)
Lindy Waters III,1.23,0,,0,,49,-0.1,Lindy Waters III,3.6,15.0,52,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Lonzo Ball,1.91,4,1.5,0,,28,-0.32,Lonzo Ball,5.6,22.2,35,High (5+ 3PA/g),8,Veteran (8+ yrs)
Luguentz Dort,2.39,3,4.11,2,-2.33,63,-0.16,Luguentz Dort,5.8,29.2,71,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Luke Kennard,1.74,2,4.0,0,,60,-0.11,Luke Kennard,4.0,22.6,65,Medium (3-5 3PA/g),8,Veteran (8+ yrs)
Malik Beasley,3.89,3,1.78,2,-3.5,74,-0.03,Malik Beasley,9.3,27.8,82,High (5+ 3PA/g),10,Veteran (8+ yrs)
Malik Monk,2.14,6,1.17,2,-0.67,54,-0.04,Malik Monk,6.6,31.6,65,High (5+ 3PA/g),8,Veteran (8+ yrs)
Marcus Smart,1.44,2,3.0,0,,29,-0.21,Marcus Smart,4.1,20.0,34,Medium (3-5 3PA/g),11,Veteran (8+ yrs)
Matas Buzelis,1.2,8,1.17,0,,69,-0.19,Matas Buzelis,3.3,18.9,80,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Max Christie,1.47,10,1.3,1,-2.0,64,-0.2,Max Christie,4.0,27.3,78,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Max Strus,2.26,1,3.0,1,-3.33,45,-0.12,Max Strus,5.9,25.5,50,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Micah Potter,0.82,0,,0,,35,0.04,Micah Potter,2.6,18.6,38,Low (2-3 3PA/g),4,Mid-career (3-7 yrs)
Mike Conley,1.79,0,,1,0.33,67,0.04,Mike Conley,4.4,24.7,71,Medium (3-5 3PA/g),18,Veteran (8+ yrs)
